ID,method,prop_POC,C_N_MAOC,C_N_POC,yield_N,yield_C,Clay,pH,TOC,TOC_mesured,TIC,num_ID,c_poc,c_maoc
WF CR,M3,25.0061530888506,13.8953,67.8957,92.8914689038363,93.3546292721824,43.2,7.3,18.6,37.73,19.6,67,9.434821560423329,28.29517843957667
FM MI,M3,12.8769639872215,9.8965,18.8814,96.5770749549615,91.3749501171975,15.0,6.7,19.3,19.95,1.3,53,2.568954315450689,17.38104568454931
FM CR,M3,10.0307182442655,9.9925,18.3615,93.1665114018389,91.6895351100015,15.0,6.7,17.2,18.62,1.3,52,1.8677197370822363,16.752280262917765
DE MI,M3,21.5713057629109,8.8522,16.3586,95.5904783249522,94.4191924113349,44.7,7.1,23.2,24.26,1.7,48,5.233198778082184,19.026801221917818
DE CR,M3,14.1512914511138,7.8119,14.3548,94.4147057753513,90.6565261463757,44.7,7.1,11.0,13.1,1.7,47,1.8538191800959076,11.246180819904094
BZE 6201,M3,16.0030621988095,9.7223,15.2941,90.3241288326813,99.3789485115628,15.0,7.85,25.09,21.97,11.01,33,3.5158727650784467,18.45412723492155
BZE 6035,M3,21.3854944331367,14.2768,16.0232,87.4232696592602,85.3831674281288,3.8,6.07,21.73,36.41,0.0,32,7.786458523105071,28.623541476894925
BZE 5406,M3,28.4738816426839,8.0531,10.2926,94.8679418616096,94.0194748131825,37.6,7.38,81.08,75.38,4.18,31,21.463611982255124,53.91638801774488
BZE 5300,M3,29.4989813644576,8.9125,12.4075,90.2453971457748,89.1470864729559,20.5,6.58,41.6,43.51,0.0,30,12.8350067916755,30.6749932083245
BZE 5216,M3,20.3228852853455,9.9729,16.3249,95.2268259879992,92.4587030615489,22.4,5.46,61.2,60.27,0.0,29,12.248602961477733,48.02139703852227
BZE 4770,M3,25.7780978511961,9.2713,14.5605,100.610252721485,96.163009240055,67.2,7.31,80.16,73.59,2.84,28,18.970102208695213,54.6198977913048
BZE 4764,M3,22.1879961537385,8.3365,16.9551,93.8635765662641,86.3517595485451,46.0,6.42,56.45,56.22,0.0,27,12.474091437631783,43.745908562368214
BZE 4655,M3,16.5432581294632,10.7124,16.0755,86.6648947086867,98.9696323074019,21.5,6.6,15.67,16.45,0.31,26,2.7213659622966966,13.728634037703303
BZE 3952,M3,16.5957660193907,8.9583,15.1134,82.6372034610021,86.3048453438927,31.4,8.1,14.04,15.7,15.81,25,2.60553526504434,13.094464734955658
BZE 3581,M3,14.4440562129259,7.8584,16.7936,91.7655587742492,88.0023086149396,29.3,6.36,11.01,11.44,0.0,24,1.652400030758723,9.787599969241276
BZE 3290,M3,30.7838910908665,9.1743,12.4631,95.2888939464036,96.0921597855208,31.1,6.01,59.29,58.57,0.0,23,18.03012501192051,40.53987498807949
BZE 2659,M3,20.4518179280228,9.9834,13.7441,96.0529673618973,90.0679725111669,21.5,7.58,22.38,21.4,2.63,22,4.376689036596878,17.023310963403123
BZE 1412,M3,17.5261081991309,14.8664,16.2804,100.138240069503,100.923106938681,3.2,5.9,15.53,15.63,0.0,20,2.73933071152416,12.89066928847584
BZE 1173,M3,34.7005963288088,14.6908,14.2456,95.5625942937957,96.3953941486487,5.2,5.89,59.77,61.95,0.0,18,21.49701942569705,40.452980574302956
BZE 0259,M3,19.556791790019,11.8345,13.8288,97.8665128393929,103.392536895844,34.1,7.49,27.13,27.08,4.64,17,5.295979216737145,21.784020783262857
BZE 0060,M3,31.0768688457507,9.2902,14.2458,94.1908180273919,93.9360356022188,56.1,5.3,120.31,116.42,0.0,16,36.179690710222964,80.24030928977704
BS MI,M3,20.0377278071457,10.699,24.5656,93.8104251897987,91.8952504378879,4.0,6.25,18.3,8.83,0.0,15,1.7693313653709652,7.060668634629034
BS A,M3,21.2662722758973,10.2604,23.3613,85.4440447273213,85.3687001355674,4.0,6.25,15.5,10.49,0.0,14,2.2308319617416266,8.259168038258373
6019,M3,36.4546889330912,9.4318,11.5966,93.9028360393861,93.5185541335967,39.1,5.86,136.96,0.0,0.0,6,0.0,0.0
3820,M3,18.9506686886943,9.3361,12.4213,89.2948347414948,89.5441017785058,53.9,7.52,28.94,27.1,29.27,4,5.135631214636155,21.96436878536385
3596,M3,24.1190559264746,8.0362,14.1526,96.904885320241,92.2777098600769,60.0,7.57,22.98,21.59,13.35,3,5.207304174525866,16.382695825474133
1005,M3,12.8117546932528,8.8232,16.0815,96.0226707676649,93.1044641448635,10.8,6.52,9.05,9.74,0.0,2,1.2478649071228227,8.492135092877177
786,M3,10.5919209156044,20.7666,20.724,92.3541125994201,93.5482992242736,3.6,6.02,35.61,33.07,0.0,1,3.502748246790375,29.567251753209625
